name,short_name,display_name,sortable_name,slug,children,cfr_references,parent_agency,word_count
Export-Import Bank of the United States,EIB/USEIB,Export-Import Bank of the United States,Export-Import Bank of the United States,export-import-bank,[],"[{'title': 2, 'chapter': 'XXXV'}, {'title': 5, 'chapter': 'LII'}, {'title': 12, 'chapter': 'IV'}]",Export-Import Bank of the United States,36766
Farm Credit Administration,FCA,Farm Credit Administration,Farm Credit Administration,farm-credit-administration,[],"[{'title': 5, 'chapter': 'XXXI'}, {'title': 12, 'chapter': 'VI'}]",Farm Credit Administration,263716
Farm Credit System Insurance Corporation,FCSIC,Farm Credit System Insurance Corporation,Farm Credit System Insurance Corporation,farm-credit-system-insurance-corporation,[],"[{'title': 5, 'chapter': 'XXX'}, {'title': 12, 'chapter': 'XIV'}]",Farm Credit System Insurance Corporation,23369
Federal Acquisition Regulatory Council,,Federal Acquisition Regulatory Council,Federal Acquisition Regulatory Council,federal-acquisition-regulation,[],"[{'title': 48, 'chapter': '1'}]",Federal Acquisition Regulatory Council,1002710
Federal Acquisition Security Council,FASC,Federal Acquisition Security Council,Federal Acquisition Security Council,federal-acqusition-supply-chain-security,[],"[{'title': 41, 'subtitle': 'D', 'chapter': '201'}]",Federal Acquisition Security Council,5636
Federal Communications Commission,FCC,Federal Communications Commission,Federal Communications Commission,federal-communications-commission,[],"[{'title': 2, 'chapter': 'LX'}, {'title': 5, 'chapter': 'XXIX'}, {'title': 47, 'chapter': 'I'}]",Federal Communications Commission,2329126
Federal Deposit Insurance Corporation,FDIC,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,federal-deposit-insurance-corporation,[],"[{'title': 5, 'chapter': 'XXII'}, {'title': 12, 'chapter': 'III'}]",Federal Deposit Insurance Corporation,771052
Federal Election Commission,FEC,Federal Election Commission,Federal Election Commission,federal-election-commission,[],"[{'title': 5, 'chapter': 'XXXVII'}, {'title': 11, 'chapter': 'I'}]",Federal Election Commission,222575
Federal Financial Institutions Examination Council,FFIEC,Federal Financial Institutions Examination Council,Federal Financial Institutions Examination Council,federal-financial-institutions-examination-council,[],"[{'title': 12, 'chapter': 'XI'}]",Federal Financial Institutions Examination Council,23967
Federal Financing Bank,,Federal Financing Bank,Federal Financing Bank,federal-financing-bank,[],"[{'title': 12, 'chapter': 'VIII'}]",Federal Financing Bank,2777
Federal Housing Finance Agency,FHFA,Federal Housing Finance Agency,Federal Housing Finance Agency,federal-housing-finance-agency,[],"[{'title': 5, 'chapter': 'LXXX'}, {'title': 12, 'chapter': 'XII'}]",Federal Housing Finance Agency,351318
Federal Labor Relations Authority,FLRA,Federal Labor Relations Authority,Federal Labor Relations Authority,federal-labor-relations-authority,"[{'name': 'Federal Service Impasses Panel ', 'short_name': 'FSIP', 'display_name': 'Federal Service Impasses Panel , Federal Labor Relations Authority', 'sortable_name': 'Federal Service Impasses Panel ', 'slug': 'federal-service-impasses-panel', 'cfr_references': [{'title': 5, 'chapter': 'XIV'}]}, {'name': 'General Counsel of the Federal Labor Relations Authority', 'short_name': '', 'display_name': 'General Counsel of the Federal Labor Relations Authority', 'sortable_name': 'General Counsel of the Federal Labor Relations Authority', 'slug': 'general-counsel-of-the-federal-labor-relations-authority', 'cfr_references': [{'title': 5, 'chapter': 'XIV', 'subchapter': 'B'}, {'title': 22, 'chapter': 'XIV', 'subchapter': 'C'}]}]","[{'title': 5, 'chapter': 'XLIX'}, {'title': 22, 'chapter': 'XIV'}]",Federal Labor Relations Authority,32171
Federal Maritime Commission,FMC,Federal Maritime Commission,Federal Maritime Commission,federal-maritime-commission,[],"[{'title': 46, 'chapter': 'IV'}]",Federal Maritime Commission,172788
Federal Mediation and Conciliation Service,FMCS,Federal Mediation and Conciliation Service,Federal Mediation and Conciliation Service,federal-mediation-and-conciliation-service,[],"[{'title': 5, 'chapter': 'CIII'}, {'title': 29, 'chapter': 'XII'}]",Federal Mediation and Conciliation Service,69776
Federal Mine Safety and Health Review Commission,MSHFRC,Federal Mine Safety and Health Review Commission,Federal Mine Safety and Health Review Commission,federal-mine-safety-and-health-review-commission,[],"[{'title': 5, 'chapter': 'LXXIV'}, {'title': 29, 'chapter': 'XXVII'}]",Federal Mine Safety and Health Review Commission,32127
Federal Permitting Improvement Steering Council,FPISC,Federal Permitting Improvement Steering Council,Federal Permitting Improvement Steering Council,federal-permitting-improvement-steering-council,[],"[{'title': 40, 'chapter': 'IX'}]",Federal Permitting Improvement Steering Council,138
Federal Procurement Regulations System,,Federal Procurement Regulations System,Federal Procurement Regulations System,federal-procurement-regulations-system,[],"[{'title': 41, 'subtitle': 'A'}]",Federal Procurement Regulations System,6
Federal Property Management Regulations System,,Federal Property Management Regulations System,Federal Property Management Regulations System,federal-property-management-regulations-system,[],"[{'title': 41, 'subtitle': 'C'}]",Federal Property Management Regulations System,456442
Administrative Committee of the Federal Register,ACFR,Administrative Committee of the Federal Register,"Federal Register, Administrative Committee of",federal-register-administrative-committee,[],"[{'title': 1, 'chapter': 'I'}]",Administrative Committee of the Federal Register,12897
Federal Reserve System,FRS,Federal Reserve System,Federal Reserve System,federal-reserve-system,"[{'name': 'Board of Governors of the Federal Reserve System', 'short_name': '', 'display_name': 'Board of Governors of the Federal Reserve System', 'sortable_name': 'Board of Governors of the Federal Reserve System', 'slug': 'board-of-governors-of-the-federal-reserve-system', 'cfr_references': [{'title': 5, 'chapter': 'LVIII'}]}]","[{'title': 12, 'chapter': 'II'}]",Federal Reserve System,1733480
Federal Retirement Thrift Investment Board,FRTIB,Federal Retirement Thrift Investment Board,Federal Retirement Thrift Investment Board,federal-retirement-thrift-investment-board,[],"[{'title': 5, 'chapter': 'VI'}, {'title': 5, 'chapter': 'LXXVI'}]",Federal Retirement Thrift Investment Board,80500
Federal Trade Commission,FTC,Federal Trade Commission,Federal Trade Commission,federal-trade-commission,[],"[{'title': 5, 'chapter': 'XLVII'}, {'title': 16, 'chapter': 'I'}]",Federal Trade Commission,424101
Federal Travel Regulation System,,Federal Travel Regulation System,Federal Travel Regulation System,federal-travel-regulation-system,[],"[{'title': 41, 'subtitle': 'F'}]",Federal Travel Regulation System,123335
Financial Stability Oversight Council,FSOC,Financial Stability Oversight Council,Financial Stability Oversight Council,financial-stability-oversight-council,[],"[{'title': 12, 'chapter': 'XIII'}]",Financial Stability Oversight Council,22287
Commission of Fine Arts,CFA,Commission of Fine Arts,"Fine Arts, Commission of",commission-of-fine-arts,[],"[{'title': 45, 'chapter': 'XXI'}]",Commission of Fine Arts,22691
First Responder Network Authority,FirstNet,First Responder Network Authority,First Responder Network Authority,first-responder-network-authority,[],"[{'title': 47, 'chapter': 'V'}]",First Responder Network Authority,1465
Foreign Service Grievance Board,FSGB,Foreign Service Grievance Board,Foreign Service Grievance Board,foreign-service-grievance-board,[],"[{'title': 22, 'chapter': 'IX'}]",Foreign Service Grievance Board,7284
Foreign Service Impasse Disputes Panel,Disputes Panel,Foreign Service Impasse Disputes Panel,Foreign Service Impasse Disputes Panel,foreign-service-impasse-disputes-panel,[],"[{'title': 22, 'chapter': 'XIV', 'subchapter': 'B'}, {'title': 22, 'chapter': 'XIV', 'subchapter': 'D'}]",Foreign Service Impasse Disputes Panel,8725
Foreign Service Labor Relations Board,FSLRB,Foreign Service Labor Relations Board,Foreign Service Labor Relations Board,foreign-service-labor-relations-board,[],"[{'title': 22, 'chapter': 'XIV', 'subchapter': 'B'}, {'title': 22, 'chapter': 'XIV', 'subchapter': 'C'}]",Foreign Service Labor Relations Board,27206
General Services Administration,GSA,General Services Administration,General Services Administration,general-services-administration,"[{'name': 'Civilian Board of Contract Appeals', 'short_name': '', 'display_name': 'Civilian Board of Contract Appeals, General Services Administration', 'sortable_name': 'Civilian Board of Contract Appeals', 'slug': 'civilian-board-of-contract-appeals', 'cfr_references': [{'title': 48, 'chapter': '61'}]}]","[{'title': 5, 'chapter': 'LVII'}, {'title': 41, 'chapter': '105'}, {'title': 48, 'chapter': '5'}]",General Services Administration,221790
Government Accountability Office,GAO,Government Accountability Office,Government Accountability Office,government-accountability-office,[],"[{'title': 4, 'chapter': 'I'}]",Government Accountability Office,60496
Office of Government Ethics,OGE,Office of Government Ethics,"Government Ethics, Office of",government-ethics-office,[],"[{'title': 5, 'chapter': 'XVI'}]",Office of Government Ethics,171833
Gulf Coast Ecosystem Restoration Council,Gulf Restoration Council,Gulf Coast Ecosystem Restoration Council,Gulf Coast Ecosystem Restoration Council,gulf-coast-ecosystem-restoration-council,[],"[{'title': 2, 'chapter': 'LIX'}, {'title': 40, 'chapter': 'VIII'}]",Gulf Coast Ecosystem Restoration Council,12054
Harry S. Truman Scholarship Foundation,HST,Harry S. Truman Scholarship Foundation,Harry S. Truman Scholarship Foundation,harry-s-truman-scholarship-foundation,[],"[{'title': 45, 'chapter': 'XVIII'}]",Harry S. Truman Scholarship Foundation,9524
Department of Health and Human Services,HHS,Department of Health and Human Services,"Health and Human Services, Department of",health-and-human-services-department,"[{'name': 'Administration for Children and Families', 'short_name': 'ACF', 'display_name': 'Administration for Children and Families, Department of Health and Human Services', 'sortable_name': 'Children and Families, Administration for', 'slug': 'children-and-families-administration', 'cfr_references': [{'title': 45, 'chapter': 'XIII'}]}, {'name': 'Centers for Medicare & Medicaid Services', 'short_name': 'CMS', 'display_name': 'Centers for Medicare & Medicaid Services, Department of Health and Human Services', 'sortable_name': 'Centers for Medicare & Medicaid Services', 'slug': 'centers-for-medicare-medicaid-services', 'cfr_references': [{'title': 42, 'chapter': 'IV'}]}, {'name': 'Food and Drug Administration', 'short_name': 'FDA', 'display_name': 'Food and Drug Administration, Department of Health and Human Services', 'sortable_name': 'Food and Drug Administration', 'slug': 'food-and-drug-administration', 'cfr_references': [{'title': 21, 'chapter': 'I'}]}, {'name': 'Indian Health Service', 'short_name': 'IHS', 'display_name': 'Indian Health Service, Department of Health and Human Services', 'sortable_name': 'Indian Health Service', 'slug': 'indian-health-service', 'cfr_references': [{'title': 25, 'chapter': 'V'}, {'title': 42, 'chapter': 'I', 'subchapter': 'M'}]}, {'name': 'Office of Administration for Children and Families Child Support Enforcement (Child Support Enforcement Program)', 'short_name': '', 'display_name': 'Office of Administration for Children and Families Child Support Enforcement (Child Support Enforcement Program), Department of Health and Human Services', 'sortable_name': 'Child Support Enforcement (Child Support Enforcement Program), Administration for Children and Families, Office of', 'slug': 'office-of-administration-for-children-and-families-child-support-enforcement-(child-support-enforcement-program)', 'cfr_references': [{'title': 45, 'chapter': 'III'}]}, {'name': 'Office of Administration for Children and Families Community Services', 'short_name': '', 'display_name': 'Office of Administration for Children and Families Community Services, Department of Health and Human Services', 'sortable_name': 'Community Services, Administration for Children and Families, Office of', 'slug': 'office-of-administration-for-children-and-families-community-services', 'cfr_references': [{'title': 45, 'chapter': 'X'}]}, {'name': 'Office of Administration for Children and Families Family Assistance (Assistance Programs)', 'short_name': '', 'display_name': 'Office of Administration for Children and Families Family Assistance (Assistance Programs), Department of Health and Human Services', 'sortable_name': 'Family Assistance (Assistance Programs), Administration for Children and Families, Office of', 'slug': 'office-of-administration-for-children-and-families-family-assistance-(assistance-programs)', 'cfr_references': [{'title': 45, 'chapter': 'II'}]}, {'name': 'Office of Administration for Children and Families Refugee Resettlement', 'short_name': 'ORR', 'display_name': 'Office of Administration for Children and Families Refugee Resettlement, Department of Health and Human Services', 'sortable_name': 'Refugee Resettlement, Administration for Children and Families, Office of', 'slug': 'refugee-resettlement-office', 'cfr_references': [{'title': 45, 'chapter': 'IV'}]}, {'name': 'Office of Inspector General-Health Care', 'short_name': '', 'display_name': 'Office of Inspector General-Health Care, Department of Health and Human Services', 'sortable_name': 'Inspector General-Health Care, Office of', 'slug': 'office-of-inspector-general-health-care', 'cfr_references': [{'title': 42, 'chapter': 'V'}]}, {'name': 'Public Health Service', 'short_name': 'PHS', 'display_name': 'Public Health Service, Department of Health and Human Services', 'sortable_name': 'Public Health Service', 'slug': 'public-health-service', 'cfr_references': [{'title': 42, 'chapter': 'I'}]}]","[{'title': 2, 'chapter': 'III'}, {'title': 5, 'chapter': 'XLV'}, {'title': 45, 'subtitle': 'A'}, {'title': 48, 'chapter': '3'}]",Department of Health and Human Services,1084967
Department of Homeland Security,DHS,Department of Homeland Security,"Homeland Security, Department of",homeland-security-department,"[{'name': 'Coast Guard', 'short_name': 'USCG', 'display_name': 'Coast Guard, Department of Homeland Security', 'sortable_name': 'Coast Guard', 'slug': 'coast-guard', 'cfr_references': [{'title': 33, 'chapter': 'I'}, {'title': 46, 'chapter': 'I'}, {'title': 49, 'chapter': 'IV'}]}, {'name': 'Coast Guard (Great Lakes Pilotage)', 'short_name': '', 'display_name': 'Coast Guard (Great Lakes Pilotage), Department of Homeland Security', 'sortable_name': 'Coast Guard (Great Lakes Pilotage)', 'slug': 'coast-guard-(great-lakes-pilotage)', 'cfr_references': [{'title': 46, 'chapter': 'III'}]}, {'name': 'Department of Homeland Security Acquisition Regulation', 'short_name': 'HSAR', 'display_name': 'Department of Homeland Security Acquisition Regulation', 'sortable_name': 'Homeland Security Acquisition Regulation', 'slug': 'department-of-homeland-security-acquisition-regulation', 'cfr_references': [{'title': 48, 'chapter': '30'}]}, {'name': 'Federal Emergency Management Agency', 'short_name': 'FEMA', 'display_name': 'Federal Emergency Management Agency, Department of Homeland Security', 'sortable_name': 'Federal Emergency Management Agency', 'slug': 'federal-emergency-management-agency', 'cfr_references': [{'title': 44, 'chapter': 'I'}]}, {'name': 'Federal Law Enforcement Training Center', 'short_name': 'FLETC', 'display_name': 'Federal Law Enforcement Training Center, Department of Homeland Security', 'sortable_name': 'Federal Law Enforcement Training Center', 'slug': 'federal-law-enforcement-training-center', 'cfr_references': [{'title': 31, 'chapter': 'VII'}]}, {'name': 'Human Resources Management System (Homeland Security - Office of Personnel Management)', 'short_name': '', 'display_name': 'Human Resources Management System (Homeland Security - Office of Personnel Management), Department of Homeland Security', 'sortable_name': 'Human Resources Management System (Homeland Security - Office of Personnel Management)', 'slug': 'human-resources-management-system-(homeland-security---office-of-personnel-management)', 'cfr_references': [{'title': 5, 'chapter': 'XCVII'}]}, {'name': 'Office of the Secretary of Homeland Security', 'short_name': '', 'display_name': 'Office of the Secretary of Homeland Security, Department of Homeland Security', 'sortable_name': 'Office of the Secretary, Department of Homeland Security', 'slug': 'office-of-the-secretary-of-homeland-security', 'cfr_references': [{'title': 6, 'chapter': 'I'}]}, {'name': 'Secret Service', 'short_name': 'USSS', 'display_name': 'Secret Service, Department of Homeland Security', 'sortable_name': 'Secret Service', 'slug': 'secret-service', 'cfr_references': [{'title': 31, 'chapter': 'IV'}]}, {'name': 'Transportation Security Administration', 'short_name': 'TSA', 'display_name': 'Transportation Security Administration, Department of Homeland Security', 'sortable_name': 'Transportation Security Administration', 'slug': 'transportation-security-administration', 'cfr_references': [{'title': 49, 'chapter': 'XII'}]}, {'name': 'U.S. Customs and Border Protection', 'short_name': 'USCBP', 'display_name': 'U.S. Customs and Border Protection, Department of Homeland Security', 'sortable_name': 'U.S. Customs and Border Protection', 'slug': 'u-s-customs-and-border-protection', 'cfr_references': [{'title': 19, 'chapter': 'I'}]}]","[{'title': 2, 'chapter': 'XXX'}, {'title': 5, 'chapter': 'XXXVI'}, {'title': 8, 'chapter': 'I'}]",Department of Homeland Security,601075
Department of Housing and Urban Development,HUD,Department of Housing and Urban Development,"Housing and Urban Development, Department of",housing-and-urban-development-department,"[{'name': 'Government National Mortgage Association', 'short_name': 'GinnieMae', 'display_name': 'Government National Mortgage Association, Department of Housing and Urban Development', 'sortable_name': 'Government National Mortgage Association', 'slug': 'government-national-mortgage-association', 'cfr_references': [{'title': 24, 'chapter': 'III'}]}, {'name': 'Office of Assistant Secretary for Community Planning and Development', 'short_name': '', 'display_name': 'Office of Assistant Secretary for Community Planning and Development, Department of Housing and Urban Development', 'sortable_name': 'Assistant Secretary for Community Planning and Development, Office of', 'slug': 'office-of-assistant-secretary-for-community-planning-and-development', 'cfr_references': [{'title': 24, 'chapter': 'V'}]}, {'name': 'Office of Assistant Secretary for Equal Opportunity', 'short_name': '', 'display_name': 'Office of Assistant Secretary for Equal Opportunity, Department of Housing and Urban Development', 'sortable_name': 'Assistant Secretary for Equal Opportunity, Office of', 'slug': 'office-of-assistant-secretary-for-equal-opportunity', 'cfr_references': [{'title': 24, 'chapter': 'I'}]}, {'name': 'Office of Assistant Secretary for Housing - Federal Housing Commissioner', 'short_name': '', 'display_name': 'Office of Assistant Secretary for Housing - Federal Housing Commissioner, Department of Housing and Urban Development', 'sortable_name': 'Assistant Secretary for Housing - Federal Housing Commissioner, Office of', 'slug': 'office-of-assistant-secretary-for-housing---federal-housing-commissioner', 'cfr_references': [{'title': 24, 'chapter': 'II'}, {'title': 24, 'chapter': 'VIII'}, {'title': 24, 'chapter': 'XX'}]}, {'name': 'Office of Assistant Secretary for Public and Indian Housing', 'short_name': '', 'display_name': 'Office of Assistant Secretary for Public and Indian Housing, Department of Housing and Urban Development', 'sortable_name': 'Assistant Secretary for Public and Indian Housing, Office of', 'slug': 'office-of-assistant-secretary-for-public-and-indian-housing', 'cfr_references': [{'title': 24, 'chapter': 'IX'}]}, {'name': 'Office of Federal Housing Enterprise Oversight', 'short_name': '', 'display_name': 'Office of Federal Housing Enterprise Oversight, Department of Housing and Urban Development', 'sortable_name': 'Federal Housing Enterprise Oversight, Office of', 'slug': 'office-of-federal-housing-enterprise-oversight', 'cfr_references': [{'title': 12, 'chapter': 'XVII'}]}, {'name': 'Office of Housing and Multifamily Housing Assistance Restructuring', 'short_name': '', 'display_name': 'Office of Housing and Multifamily Housing Assistance Restructuring, Department of Housing and Urban Development', 'sortable_name': 'Housing and Multifamily Housing Assistance Restructuring, Office of', 'slug': 'office-of-housing-and-multifamily-housing-assistance-restructuring', 'cfr_references': [{'title': 24, 'chapter': 'IV'}]}, {'name': 'Office of Inspector General, Housing and Urban Development', 'short_name': '', 'display_name': 'Office of Inspector General, Housing and Urban Development, Department of Housing and Urban Development', 'sortable_name': 'Inspector General, Office of', 'slug': 'office-of-inspector-general,-housing-and-urban-development', 'cfr_references': [{'title': 24, 'chapter': 'XII'}]}, {'name': 'Office of Secretary', 'short_name': '', 'display_name': 'Office of Secretary, Department of Housing and Urban Development', 'sortable_name': 'Secretary, Office of', 'slug': 'office-of-secretary', 'cfr_references': [{'title': 24, 'subtitle': 'A'}]}, {'name': 'Office of Secretary (Housing Assistance Programs and Public and Indian Housing Programs)', 'short_name': '', 'display_name': 'Office of Secretary (Housing Assistance Programs and Public and Indian Housing Programs), Department of Housing and Urban Development', 'sortable_name': 'Secretary (Housing Assistance Programs and Public and Indian Housing Programs), Office of', 'slug': 'office-of-secretary-(housing-assistance-programs-and-public-and-indian-housing-programs)', 'cfr_references': [{'title': 24, 'chapter': 'VII'}]}]","[{'title': 2, 'chapter': 'XXIV'}, {'title': 5, 'chapter': 'LXV'}, {'title': 24, 'chapter': 'XV'}, {'title': 48, 'chapter': '24'}]",Department of Housing and Urban Development,38783
Office of Independent Counsel,,Office of Independent Counsel,"Independent Counsel, Office of",office-of-independent-counsel,[],"[{'title': 28, 'chapter': 'VII'}]",Office of Independent Counsel,13462
United States Institute of Peace,USIP,United States Institute of Peace,"Institute of Peace, United States",united-states-institute-of-peace,[],"[{'title': 22, 'chapter': 'XVII'}]",United States Institute of Peace,3703
Inter-American Foundation,IAF,Inter-American Foundation,Inter-American Foundation,inter-american-foundation,[],"[{'title': 5, 'chapter': 'LXIII'}, {'title': 22, 'chapter': 'X'}]",Inter-American Foundation,27039
Department of Interior,DOI,Department of Interior,"Interior, Department of",interior-department,"[{'name': 'Bureau of Indian Affairs', 'short_name': 'BIA', 'display_name': 'Bureau of Indian Affairs, Department of Interior', 'sortable_name': 'Indian Affairs, Bureau of', 'slug': 'indian-affairs-bureau', 'cfr_references': [{'title': 25, 'chapter': 'I'}, {'title': 25, 'chapter': 'V'}]}, {'name': 'Bureau of Land Management', 'short_name': 'BLM', 'display_name': 'Bureau of Land Management, Department of Interior', 'sortable_name': 'Land Management, Bureau of', 'slug': 'land-management-bureau', 'cfr_references': [{'title': 43, 'chapter': 'II'}]}, {'name': 'Bureau of Ocean Energy Management', 'short_name': 'BOEM', 'display_name': 'Bureau of Ocean Energy Management, Department of Interior', 'sortable_name': 'Ocean Energy Management, Bureau of', 'slug': 'ocean-energy-management-bureau', 'cfr_references': [{'title': 30, 'chapter': 'V'}]}, {'name': 'Bureau of Reclamation', 'short_name': 'BOR', 'display_name': 'Bureau of Reclamation, Department of Interior', 'sortable_name': 'Reclamation, Bureau of', 'slug': 'reclamation-bureau', 'cfr_references': [{'title': 43, 'chapter': 'I'}]}, {'name': 'Bureau of Safety and Environmental Enforcement', 'short_name': 'BSEE', 'display_name': 'Bureau of Safety and Environmental Enforcement, Department of Interior', 'sortable_name': 'Safety and Environmental Enforcement, Bureau of', 'slug': 'safety-and-environmental-enforcement-bureau', 'cfr_references': [{'title': 30, 'chapter': 'II'}]}, {'name': 'Geological Survey', 'short_name': 'USGS', 'display_name': 'Geological Survey, Department of Interior', 'sortable_name': 'Geological Survey', 'slug': 'geological-survey', 'cfr_references': [{'title': 30, 'chapter': 'IV'}]}, {'name': 'Indian Arts and Crafts Board', 'short_name': 'IACB', 'display_name': 'Indian Arts and Crafts Board, Department of Interior', 'sortable_name': 'Indian Arts and Crafts Board', 'slug': 'indian-arts-and-crafts-board', 'cfr_references': [{'title': 25, 'chapter': 'II'}]}, {'name': 'National Indian Gaming Commission', 'short_name': 'NIGC', 'display_name': 'National Indian Gaming Commission, Department of Interior', 'sortable_name': 'National Indian Gaming Commission', 'slug': 'national-indian-gaming-commission', 'cfr_references': [{'title': 25, 'chapter': 'III'}]}, {'name': 'National Park Service', 'short_name': 'NPS', 'display_name': 'National Park Service, Department of Interior', 'sortable_name': 'National Park Service', 'slug': 'national-park-service', 'cfr_references': [{'title': 36, 'chapter': 'I'}]}, {'name': 'Office of Indian Affairs Assistant Secretary', 'short_name': '', 'display_name': 'Office of Indian Affairs Assistant Secretary, Department of Interior', 'sortable_name': 'Assistant Secretary, Indian Affairs, Office of', 'slug': 'office-of-indian-affairs-assistant-secretary', 'cfr_references': [{'title': 25, 'chapter': 'VI'}]}, {'name': 'Office of Natural Resources Revenue', 'short_name': 'ONRR', 'display_name': 'Office of Natural Resources Revenue, Department of Interior', 'sortable_name': 'Natural Resources Revenue, Office of', 'slug': 'natural-resources-revenue-office', 'cfr_references': [{'title': 30, 'chapter': 'XII'}]}, {'name': 'Office of Secretary of the Interior', 'short_name': '', 'display_name': 'Office of Secretary of the Interior, Department of Interior', 'sortable_name': 'Secretary of the Interior, Office of', 'slug': 'office-of-secretary-of-the-interior', 'cfr_references': [{'title': 43, 'subtitle': 'A'}]}, {'name': 'Office of Special Trustee for American Indians', 'short_name': 'OST', 'display_name': 'Office of Special Trustee for American Indians, Department of Interior', 'sortable_name': 'American Indians, Office of the Special Trustee', 'slug': 'special-trustee-for-american-indians-office', 'cfr_references': [{'title': 25, 'chapter': 'VII'}]}, {'name': 'Office of Surface Mining Reclamation and Enforcement', 'short_name': 'OSM', 'display_name': 'Office of Surface Mining Reclamation and Enforcement, Department of Interior', 'sortable_name': 'Surface Mining Reclamation and Enforcement, Office of', 'slug': 'surface-mining-reclamation-and-enforcement-office', 'cfr_references': [{'title': 30, 'chapter': 'VII'}]}, {'name': 'United States Fish and Wildlife Service', 'short_name': 'FWS', 'display_name': 'United States Fish and Wildlife Service, Department of Interior', 'sortable_name': 'Fish and Wildlife Service, United States', 'slug': 'fish-and-wildlife-service', 'cfr_references': [{'title': 50, 'chapter': 'I'}, {'title': 50, 'chapter': 'IV'}, {'title': 50, 'chapter': 'VI'}]}]","[{'title': 2, 'chapter': 'XIV'}, {'title': 5, 'chapter': 'XXV'}, {'title': 41, 'chapter': '114'}, {'title': 48, 'chapter': '14'}]",Department of Interior,47375
United States Section United States and Mexico International Boundary and Water Commission,IBWC,United States Section United States and Mexico International Boundary and Water Commission,"International Boundary and Water Commission, United States and Mexico, United States Section",international-boundary-and-water-commission-united-states-and-mexico,[],"[{'title': 22, 'chapter': 'XI'}]",United States Section United States and Mexico International Boundary and Water Commission,22409
United States International Development Cooperation Agency,,United States International Development Cooperation Agency,"International Development Cooperation Agency, United States",united-states-international-development-cooperation-agency,[],"[{'title': 22, 'chapter': 'XII'}]",United States International Development Cooperation Agency,9879
United States International Development Finance Corporation,DFC,United States International Development Finance Corporation,"International Development Finance Corporation, United States",u-s-international-development-finance-corporation,[],"[{'title': 2, 'chapter': 'XVI'}, {'title': 5, 'chapter': 'XXXIII'}, {'title': 22, 'chapter': 'VII'}]",United States International Development Finance Corporation,26007
Agency for International Development,USAID,Agency for International Development,"International Development, Agency for",agency-for-international-development,[],"[{'title': 2, 'chapter': 'VII'}, {'title': 22, 'chapter': 'II'}, {'title': 48, 'chapter': '7'}]",Agency for International Development,283846
United States and Canada International Joint Commission,IJC,United States and Canada International Joint Commission,"International Joint Commission, United States and Canada",international-joint-commission-united-states-and-canada,[],"[{'title': 22, 'chapter': 'IV'}]",United States and Canada International Joint Commission,4541
International Organizations Employees Loyalty Board,,International Organizations Employees Loyalty Board,International Organizations Employees Loyalty Board,international-organizations-employees-loyalty-board,[],"[{'title': 5, 'chapter': 'V'}]",International Organizations Employees Loyalty Board,2062
United States International Trade Commission,ITC,United States International Trade Commission,"International Trade Commission, United States",international-trade-commission,[],"[{'title': 19, 'chapter': 'II'}]",United States International Trade Commission,136255
Interstate Commerce Commission,ICC,Interstate Commerce Commission,Interstate Commerce Commission,interstate-commerce-commission,[],"[{'title': 5, 'chapter': 'XL'}]",Interstate Commerce Commission,965
James Madison Memorial Fellowship Foundation,,James Madison Memorial Fellowship Foundation,James Madison Memorial Fellowship Foundation,james-madison-memorial-fellowship-foundation,[],"[{'title': 45, 'chapter': 'XXIV'}]",James Madison Memorial Fellowship Foundation,9873
Japan-United States Friendship Commission,JUSFC,Japan-United States Friendship Commission,Japan-United States Friendship Commission,japan-united-states-friendship-commission,[],"[{'title': 22, 'chapter': 'XVI'}]",Japan-United States Friendship Commission,3620
