name,short_name,display_name,sortable_name,slug,children,cfr_references,parent_agency,word_count
Arctic Research Commission,ARCTIC,Arctic Research Commission,Arctic Research Commission,arctic-research-commission,[],"[{'title': 45, 'chapter': 'XXIII'}]",Arctic Research Commission,3660
Armed Forces Retirement Home,AFRH,Armed Forces Retirement Home,Armed Forces Retirement Home,armed-forces-retirement-home,[],"[{'title': 5, 'chapter': 'XI'}, {'title': 38, 'chapter': 'II'}]",Armed Forces Retirement Home,6863
Committee for Purchase From People Who Are Blind or Severely Disabled,CPPBSD,Committee for Purchase From People Who Are Blind or Severely Disabled,"Blind or Severely Disabled, Committee for Purchase from People Who Are",committee-for-purchase-from-people-who-are-blind-or-severely-disabled,[],"[{'title': 41, 'chapter': '51'}]",Committee for Purchase From People Who Are Blind or Severely Disabled,34131
Central Intelligence Agency,CIA,Central Intelligence Agency,Central Intelligence Agency,central-intelligence-agency,[],"[{'title': 32, 'chapter': 'XIX'}]",Central Intelligence Agency,30982
Chemical Safety and Hazard Investigation Board,CSB,Chemical Safety and Hazard Investigation Board,Chemical Safety and Hazard Investigation Board,chemical-safety-and-hazard-investigation-board,[],"[{'title': 40, 'chapter': 'VI'}]",Chemical Safety and Hazard Investigation Board,24929
Commission on Civil Rights,CRC,Commission on Civil Rights,"Civil Rights, Commission on",civil-rights-commission,[],"[{'title': 5, 'chapter': 'LXVIII'}, {'title': 45, 'chapter': 'VII'}]",Commission on Civil Rights,25204
Department of Commerce,DOC,Department of Commerce,"Commerce, Department of",commerce-department,"[{'name': 'Bureau of Census', 'short_name': 'USBC', 'display_name': 'Bureau of Census, Department of Commerce', 'sortable_name': 'Census, Bureau of', 'slug': 'census-bureau', 'cfr_references': [{'title': 15, 'chapter': 'I'}]}, {'name': 'Bureau of Economic Analysis', 'short_name': 'EAB', 'display_name': 'Bureau of Economic Analysis, Department of Commerce', 'sortable_name': 'Economic Analysis, Bureau of', 'slug': 'economic-analysis-bureau', 'cfr_references': [{'title': 15, 'chapter': 'VIII'}]}, {'name': 'Bureau of Industry and Security', 'short_name': 'BIS', 'display_name': 'Bureau of Industry and Security, Department of Commerce', 'sortable_name': 'Industry and Security, Bureau of', 'slug': 'industry-and-security-bureau', 'cfr_references': [{'title': 15, 'chapter': 'VII'}]}, {'name': 'Economic Development Administration', 'short_name': 'EDA', 'display_name': 'Economic Development Administration, Department of Commerce', 'sortable_name': 'Economic Development Administration', 'slug': 'economic-development-administration', 'cfr_references': [{'title': 13, 'chapter': 'III'}]}, {'name': 'Foreign-Trade Zones Board', 'short_name': 'FTZB', 'display_name': 'Foreign-Trade Zones Board, Department of Commerce', 'sortable_name': 'Foreign-Trade Zones Board', 'slug': 'foreign-trade-zones-board', 'cfr_references': [{'title': 15, 'chapter': 'IV'}]}, {'name': 'International Trade Administration', 'short_name': 'ITA', 'display_name': 'International Trade Administration, Department of Commerce', 'sortable_name': 'International Trade Administration', 'slug': 'international-trade-administration', 'cfr_references': [{'title': 15, 'chapter': 'III'}, {'title': 19, 'chapter': 'III'}]}, {'name': 'Minority Business Development Agency', 'short_name': 'MBDA', 'display_name': 'Minority Business Development Agency, Department of Commerce', 'sortable_name': 'Minority Business Development Agency', 'slug': 'minority-business-development-agency', 'cfr_references': [{'title': 15, 'chapter': 'XIV'}]}, {'name': 'National Institute of Standards and Technology', 'short_name': 'NIST', 'display_name': 'National Institute of Standards and Technology, Department of Commerce', 'sortable_name': 'National Institute of Standards and Technology', 'slug': 'national-institute-of-standards-and-technology', 'cfr_references': [{'title': 15, 'chapter': 'II'}, {'title': 37, 'chapter': 'IV'}]}, {'name': 'National Oceanic and Atmospheric Administration', 'short_name': 'NOAA', 'display_name': 'National Oceanic and Atmospheric Administration, Department of Commerce', 'sortable_name': 'National Oceanic and Atmospheric Administration', 'slug': 'national-oceanic-and-atmospheric-administration', 'cfr_references': [{'title': 15, 'chapter': 'IX'}, {'title': 50, 'chapter': 'III'}, {'title': 50, 'chapter': 'IV'}]}, {'name': 'National Oceanic and Atmospheric Administration National Marine Fisheries Service', 'short_name': '', 'display_name': 'National Oceanic and Atmospheric Administration National Marine Fisheries Service, Department of Commerce', 'sortable_name': 'National Marine Fisheries Service, National Oceanic and Atmospheric Administration', 'slug': 'national-oceanic-and-atmospheric-administration-national-marine-fisheries-service', 'cfr_references': [{'title': 50, 'chapter': 'II'}]}, {'name': 'National Technical Information Service', 'short_name': 'NTIS', 'display_name': 'National Technical Information Service, Department of Commerce', 'sortable_name': 'National Technical Information Service', 'slug': 'national-technical-information-service', 'cfr_references': [{'title': 15, 'chapter': 'XI'}]}, {'name': 'National Telecommunications and Information Administration', 'short_name': 'NTIA', 'display_name': 'National Telecommunications and Information Administration, Department of Commerce', 'sortable_name': 'National Telecommunications and Information Administration', 'slug': 'national-telecommunications-and-information-administration', 'cfr_references': [{'title': 15, 'chapter': 'XXIII'}, {'title': 47, 'chapter': 'III'}, {'title': 47, 'chapter': 'IV'}]}, {'name': 'Office of Secretary of Commerce', 'short_name': '', 'display_name': 'Office of Secretary of Commerce, Department of Commerce', 'sortable_name': 'Secretary of Commerce, Office of', 'slug': 'office-of-secretary-of-commerce', 'cfr_references': [{'title': 15, 'subtitle': 'A'}]}, {'name': 'Office of Under-Secretary for Economic Affairs', 'short_name': 'OUSEA', 'display_name': 'Office of Under-Secretary for Economic Affairs, Department of Commerce', 'sortable_name': 'Under-Secretary for Economic Affairs, Office of', 'slug': 'under-secretary-for-economic-affairs', 'cfr_references': [{'title': 15, 'chapter': 'XV'}]}, {'name': 'United States Patent and Trademark Office', 'short_name': 'PTO', 'display_name': 'United States Patent and Trademark Office, Department of Commerce', 'sortable_name': 'Patent and Trademark Office, United States', 'slug': 'patent-and-trademark-office', 'cfr_references': [{'title': 37, 'chapter': 'I'}]}]","[{'title': 2, 'chapter': 'XIII'}, {'title': 44, 'chapter': 'IV'}, {'title': 48, 'chapter': '13'}]",Department of Commerce,50416
Commodity Futures Trading Commission,CFTC,Commodity Futures Trading Commission,Commodity Futures Trading Commission,commodity-futures-trading-commission,[],"[{'title': 5, 'chapter': 'XLI'}, {'title': 17, 'chapter': 'I'}]",Commodity Futures Trading Commission,829504
Construction Industry Collective Bargaining Commission,,Construction Industry Collective Bargaining Commission,Construction Industry Collective Bargaining Commission,construction-industry-collective-bargaining-commission,[],"[{'title': 29, 'chapter': 'IX'}]",Construction Industry Collective Bargaining Commission,816
Consumer Financial Protection Bureau,CFPB,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,consumer-financial-protection-bureau,[],"[{'title': 5, 'chapter': 'LXXXIV'}, {'title': 12, 'chapter': 'X'}]",Consumer Financial Protection Bureau,1229671
